Name,Description,Latitude,Longitude,Auto_Opene,BldName,FID,Floor,description,name
(PHR) PHARMACY BUILDING,name: kml_47<br>description: <br> Attributes<br>  FID  46 <br>  Auto_Opene  1 <br>  Floor  03 <br>  BldName  (PHR) PHARMACY BUILDING <br>FID: 46<br>Auto_Opene: 1<br>Floor: 03,30.288357,-97.738872,1,(PHR) PHARMACY BUILDING,46,03,,kml_47
(WRW) W.R. WOOLRICH LABS.,name: kml_48<br>description: <br> Attributes<br>  FID  47 <br>  Auto_Opene  1 <br>  Floor  001 <br>  BldName  (WRW) W.R. WOOLRICH LABS. <br>FID: 47<br>Auto_Opene: 1<br>Floor: 001,30.287417,-97.735587,1,(WRW) W.R. WOOLRICH LABS.,47,001,,kml_48
(ESS) ENGINEERING STUDENT SERVICES BLDG,name: kml_49<br>description: <br> Attributes<br>  FID  48 <br>  Auto_Opene  0 <br>  Floor  01 <br>  BldName  (ESS) ENGINEERING STUDENT SERVICES BLDG <br>FID: 48<br>Auto_Opene: 0<br>Floor: 01,30.287504,-97.736634,0,(ESS) ENGINEERING STUDENT SERVICES BLDG,48,01,,kml_49
(ESS) ENGINEERING STUDENT SERVICES BLDG,name: kml_50<br>description: <br> Attributes<br>  FID  49 <br>  Auto_Opene  0 <br>  Floor  01 <br>  BldName  (ESS) ENGINEERING STUDENT SERVICES BLDG <br>FID: 49<br>Auto_Opene: 0<br>Floor: 01,30.287732,-97.736611,0,(ESS) ENGINEERING STUDENT SERVICES BLDG,49,01,,kml_50
(PAT) J.T. PATTERSON LABS.BLDG.,name: kml_51<br>description: <br> Attributes<br>  FID  50 <br>  Auto_Opene  1 <br>  Floor  01 <br>  BldName  (PAT) J.T. PATTERSON LABS.BLDG. <br>FID: 50<br>Auto_Opene: 1<br>Floor: 01,30.288166,-97.736502,1,(PAT) J.T. PATTERSON LABS.BLDG.,50,01,,kml_51
(RLM) ROBERT LEE MOORE HALL,name: kml_52<br>description: <br> Attributes<br>  FID  51 <br>  Auto_Opene  1 <br>  Floor  04 <br>  BldName  (RLM) ROBERT LEE MOORE HALL <br>FID: 51<br>Auto_Opene: 1<br>Floor: 04,30.288786,-97.736143,1,(RLM) ROBERT LEE MOORE HALL,51,04,,kml_52
(RLM) ROBERT LEE MOORE HALL,name: kml_53<br>description: <br> Attributes<br>  FID  52 <br>  Auto_Opene  1 <br>  Floor  04 <br>  BldName  (RLM) ROBERT LEE MOORE HALL <br>FID: 52<br>Auto_Opene: 1<br>Floor: 04,30.288926,-97.736338,1,(RLM) ROBERT LEE MOORE HALL,52,04,,kml_53
(RLM) ROBERT LEE MOORE HALL,name: kml_54<br>description: <br> Attributes<br>  FID  53 <br>  Auto_Opene  1 <br>  Floor  04 <br>  BldName  (RLM) ROBERT LEE MOORE HALL <br>FID: 53<br>Auto_Opene: 1<br>Floor: 04,30.288779,-97.736059,1,(RLM) ROBERT LEE MOORE HALL,53,04,,kml_54
(SZB) GEORGE I. SANCHEZ BUILDING,name: kml_55<br>description: <br> Attributes<br>  FID  54 <br>  Auto_Opene  1 <br>  Floor  02 <br>  BldName  (SZB) GEORGE I. SANCHEZ BUILDING <br>FID: 54<br>Auto_Opene: 1<br>Floor: 02,30.281917,-97.738605,1,(SZB) GEORGE I. SANCHEZ BUILDING,54,02,,kml_55
(SZB) GEORGE I. SANCHEZ BUILDING,name: kml_56<br>description: <br> Attributes<br>  FID  55 <br>  Auto_Opene  1 <br>  Floor  02 <br>  BldName  (SZB) GEORGE I. SANCHEZ BUILDING <br>FID: 55<br>Auto_Opene: 1<br>Floor: 02,30.281444,-97.738918,1,(SZB) GEORGE I. SANCHEZ BUILDING,55,02,,kml_56
